taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
148693627,6109611,20486,Amaranthus caudatus L.,,,Plantae,
148693628,2225646,20557,"Callinectes sapidus Rathbun, 1896",,,Animalia,
148693629,7905507,20484,Amaranthus albus L.,,,Plantae,
148693630,5384334,20493,Amaranthus viridis L.,,,Plantae,
148693633,6109534,20491,Amaranthus retroflexus L.,,,Plantae,
148693634,5384401,20492,Amaranthus spinosus L.,,,Plantae,
148693635,5176612,20848,"Paradella dianae (Menzies, 1962)",,,Animalia,
148693636,9080185,20489,Amaranthus hypochondriacus L.,,,Plantae,
148693638,5384393,20490,Amaranthus palmeri S.Watson,,,Plantae,
148693639,2212761,20502,"Apanthura sandalensis Stebbing, 1900",,,Animalia,
148693640,5384390,20487,Amaranthus cruentus L.,,,Plantae,
148693641,5384396,20488,Amaranthus deflexus L.,,,Plantae,
148693647,2182943,20715,"Hyalomma aegyptium Linnaeus, 1758",,,Animalia,
148693648,5914287,20792,Melia azedarach L.,,,Plantae,
148693650,4548112,20716,"Hyalomma anatolicum Koch, 1844",,,Animalia,
148693651,5421144,20648,Dodonaea viscosa Jacq.,,,Plantae,
148693655,3190653,20477,Ailanthus altissima Swingle,,,Plantae,
148693656,2131090,20549,"Brevipalpus obovatus Donnadieu, 1875",,,Animalia,
148693658,2130874,20548,"Brevipalpus californicus (Banks, 1904)",,,Animalia,
148693661,2128536,20474,"Aculops lycopersici (Massee, 1937)",,,Animalia,
148693662,3152824,20769,Liquidambar styraciflua L.,,,Plantae,
148693666,4544753,20469,"Aceria loewi (Nalepa, 1890)",201365215,"Phytoptus loewi (Nalepa, 1890)",Animalia,
148693668,2985682,20475,Aeonium arboreum Webb & Berthel.,,,Plantae,
148693672,1417654,20757,"Leptopsylla segnis (Schonherr, 1811)",,,Animalia,
148693676,5395269,20532,Balsamita major Desf.,201365409,Tanacetum balsamita L.,Plantae,
148693678,9052721,21061,Xanthium strumarium Lour.,,,Plantae,
148693679,1031504,20815,"Nanopsocus oceanicus Pearman & J.V., 1928",,,Animalia,
148693680,3089150,21060,Xanthium spinosum L.,,,Plantae,
148693682,1031677,21042,"Trogium pulsatorium (Linnaeus, 1758)",,,Animalia,
148693683,4225550,21059,Xanthium orientale subsp. italicum (Moretti) Greuter,,,Plantae,
148693684,1031685,20753,"Lepinotus reticulatus Enderlein, 1904",,,Animalia,
148693686,1031529,20767,"Liposcelis entomophila (Enderlein, 1907)",,,Animalia,
148693688,1031512,20764,"Liposcelis brunnea Motschulsky, 1852",,,Animalia,
148693689,1031520,20763,"Liposcelis bostrychophila Badonnel, 1931",,,Animalia,
148693690,1031521,20766,"Liposcelis decolor (Pearman & J.V., 1925)",,,Animalia,
148693691,1031528,20765,"Liposcelis corrodens (Heymons, 1909)",,,Animalia,
