taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
160883795,2706053,86775,Hordeum marinum Huds.,,,Plantae,species
160883797,2706052,86774,Hordeum jubatum L.,,,Plantae,species
160883798,2702529,86724,Eriochloa villosa Kunth,,,Plantae,species
160883799,9377860,86935,"Planiliza haematocheila (Temminck & Schlegel, 1845)",,,Animalia,species
160883800,2705953,86709,Eleusine indica (L.) Gaertn.,,,Plantae,species
160883802,8766300,86713,Elymus athericus (Link) Kergu̩len,,,Plantae,species
160883804,6431411,86701,Echinochloa colona (L.) Link,,,Plantae,species
160883805,2390064,86910,"Perccottus glenii Dybowski, 1877",,,Animalia,species
160883806,2702820,86703,Echinochloa oryzoides (Ard.) Fritsch,,,Plantae,species
160883808,2702817,86702,Echinochloa oryzicola Vasinger,160883806,Echinochloa oryzoides (Ard.) Fritsch,Plantae,species
160883809,5289726,86633,Cenchrus spinifex Cav.,,,Plantae,species
160883810,2394486,86815,"Lepomis gibbosus (Linnaeus, 1758)",,,Animalia,species
160883811,5289731,86632,Cenchrus longispinus (Hack. ex Kneucker) Fernald,,,Plantae,species
160883813,5289612,86643,Chloris barbata Sw.,,,Plantae,species
160883815,2703721,86599,Bromus madritensis L.,,,Plantae,species
160883816,2350050,86938,"Poecilia reticulata Peters, 1859",,,Animalia,species
160883818,2350570,86752,"Gambusia holbrooki Girard, 1859",,,Animalia,species
160883821,2873769,86505,Acorus calamus L.,,,Plantae,species
160883825,2351271,87003,"Salvelinus fontinalis (Mitchill, 1814)",,,Animalia,species
160883827,5204019,86884,"Oncorhynchus mykiss (Walbaum, 1792)",,,Animalia,species
160883828,5372398,87106,Vitis rupestris Scheele,,,Plantae,species
160883829,2351027,86657,"Coregonus albula (Linnaeus, 1758)",,,Animalia,species
160883830,5372392,87107,Vitis vinifera L.,,,Plantae,species
160883831,2351211,86658,"Coregonus lavaretus Valenciennes, 1848",,,Animalia,species
160883832,3039193,86907,Parthenocissus vitacea (Knerr) Hitchc.,,,Plantae,species
160883833,2351136,86659,"Coregonus peled (Gmelin, 1789)",,,Animalia,species
160883834,3039194,86905,Parthenocissus quinquefolia (L.) Planch.,,,Plantae,species
160883836,3039209,86906,Parthenocissus tricuspidata Planch.,,,Plantae,species
160883840,2359075,86787,"Ictiobus bubalus (Rafinesque, 1818)",,,Animalia,species
160883841,2986022,86922,Philadelphus pubescens Loisel.,,,Plantae,species
160883842,2359081,86788,"Ictiobus cyprinellus (Valenciennes, 1844)",,,Animalia,species
160883844,2359079,86789,"Ictiobus niger (Rafinesque, 1819)",,,Animalia,species
160883847,2882449,86866,Nelumbo nucifera Gaertn.,,,Plantae,species
160883850,6166576,86682,"Cyprinus carpio haematopterus Martens, 1876",201309770,"Cyprinus carpio Linnaeus, 1758",Animalia,subspecies
160883852,8427624,86889,Oxalis corniculata L.,,,Plantae,species
