taxonID,taxonKey,scientificName,action,acceptedKey,accepted
31681,148742121,Aira caryophyllea subsp. multiculmis (Dumort.) Hegi,merged_with_accepted,201357524,Incertae sedis
32996,148742122,"Marmaronetta angustirostris (MÃ©nÃ©triÃ©s, 1832)",scientificName_replaced_by_backbone_name,,
31682,148742126,Aira elegantissima Schur,merged_with_accepted,201357636,Aira elegans Willd. ex Roem. & Schult.
34049,148742131,Vulpia ambigua (Le Gall) More,merged_with_accepted,148742129,Vulpia ciliata Dumort.
34051,148742132,Vulpia geniculata Link,scientificName_replaced_by_backbone_name,,
34052,148742133,Vulpia ligustica Link,scientificName_replaced_by_backbone_name,,
34053,148742135,Vulpia membranacea Dumort.,scientificName_replaced_by_backbone_name,,
34054,148742138,Vulpia muralis Nees,scientificName_replaced_by_backbone_name,,
32142,148742142,Ceratochloa cathartica (Vahl) Herter,merged_with_accepted,201357565,Bromus catharticus Vahl
32011,148742147,Bromus pseudothominei P.M.Sm.,merged_with_accepted,201357589,Bromus ferronii Mabille
31775,148742148,"Anas americana (Gmelin, 1789)",scientificName_replaced_by_backbone_name,,
31684,148742152,"Aix sponsa Linnaeus, 1758",scientificName_replaced_by_backbone_name,,
31852,148742155,Arrhenatherum elatius var. bulbosum (Willd.) Spenn.,merged_with_accepted,201357536,Arrhenatherum elatius (L.) J.Presl & C.Presl
31796,148742158,Anisantha diandra (Roth) Tutin ex Tzvelev,merged_with_accepted,201357557,Bromus diandrus Roth
31797,148742161,Anisantha rigida (Roth) Hyl.,merged_with_accepted,201357633,Bromus rigidus Roth
32486,148742164,Elytrigia intermedia (Host) Nevski,merged_with_accepted,201357592,Thinopyrum intermedium (Host) Barkworth & D.R.Dewey
32484,148742168,Elymus trachycaulus (Link) Gould ex Shinners,merged_with_accepted,201357625,Elymus violaceus (Hornem.) J.Feilberg
32483,148742171,Elymus subsecundus (Link) Á.Löve & D.Löve,merged_with_accepted,201357625,Elymus violaceus (Hornem.) J.Feilberg
31655,148742172,"Acridotheres tristas (Linnaeus, 1766)",merged_with_accepted,201357459,"Acridotheres tristis (Linnaeus, 1766)"
32506,148742175,Eragrostis megastachya (Koeler) Link,merged_with_accepted,201357569,Eragrostis cilianensis (All.) Vignolo ex Janch.
32418,148742178,Digitaria sanguinalis subsp. pectiniformis Henrard,merged_with_accepted,201357576,Incertae sedis
32455,148742182,Echinochloa utilis Ohwi & Yabuno,merged_with_accepted,201357532,Echinochloa esculenta (A.Braun) H.Scholz
33782,148742183,Sorghum halepense Pers.,scientificName_replaced_by_backbone_name,,
33953,148742192,Trisetum aureum,scientificName_replaced_by_backbone_name,,
33958,148742196,Triticum spelta L.,merged_with_accepted,148742194,Triticum aestivum L.
33956,148742201,Triticum durum Desf.,merged_with_accepted,148742200,Triticum turgidum L.
33698,148742210,Setaria italica P.Beauv.,scientificName_replaced_by_backbone_name,,
33699,148742212,Setaria parviflora (Poir.) KerguÃ©len,scientificName_replaced_by_backbone_name,,
33059,148742214,"Micropterus salmoides (LacepÃ¨de, 1802)",scientificName_replaced_by_backbone_name,,
